,,Overall,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,>2021
Dublin City University,,17291,225,252,261,415,515,605,718,767,836,933,1009,1042,1024,1067,1011,1023,1121,998,1190,1176,1093,10
Maynooth University,,9508,132,150,205,263,366,354,385,353,405,455,508,522,507,562,548,604,533,569,616,721,743,7
"National University of Ireland, Galway",,26548,302,370,408,535,629,713,907,1027,1210,1310,1425,1449,1515,1564,1553,1682,1781,1839,1897,2201,2206,25
Royal College of Surgeons in Ireland,,14082,251,263,329,326,380,406,410,473,539,592,655,658,641,716,728,796,926,1015,1056,1323,1595,4
Teagasc - Irish Agriculture and Food Development Authority,,7535,125,108,137,151,251,197,248,255,319,317,434,411,437,428,421,458,507,520,577,592,630,12
Trinity College Dublin,,49741,800,954,1134,1250,1530,1638,1832,1998,2203,2311,2526,2601,2781,2753,2784,3014,3201,3350,3330,3754,3968,29
University College Cork,,35318,623,683,783,927,1175,1335,1454,1383,1564,1742,1926,1903,2016,2026,1943,2239,2259,2151,2230,2376,2553,27
University College Dublin,,57238,870,926,1145,1413,1717,1823,2030,2379,2716,2856,3104,3057,3160,3082,3220,3545,3600,3766,3954,4298,4524,53
University of Limerick,,18585,205,282,356,442,578,564,684,696,761,781,900,865,1043,1093,1017,1165,1246,1343,1386,1489,1668,21
